NAME                                          DISPLAY NAME                                             DEFAULT CHANNEL
3scale-operator                               Red Hat Integration - 3scale                             threescale-mas
advanced-cluster-management                   Advanced Cluster Management for Kubernetes               release-2.11
amq-broker-rhel8                              Red Hat Integration - AMQ Broker for RHEL 8 (Multiarch)  7.12.x
amq-online                                    Red Hat Integration - AMQ Online                         stable
amq-streams                                   Streams for Apache Kafka                                 stable
amq7-interconnect-operator                    Red Hat Integration - AMQ Interconnect                   1.10.x
ansible-automation-platform-operator          Ansible Automation Platform                              stable-2.5-cluster-scoped
ansible-cloud-addons-operator                 Ansible Cloud Addons                                     stable-2.5-cluster-scoped
apicast-operator                              Red Hat Integration - 3scale APIcast gateway             threescale-mas
authorino-operator                            Red Hat - Authorino (Technical Preview)                  tech-preview-v1
aws-efs-csi-driver-operator                   AWS EFS CSI Driver Operator                              stable
aws-load-balancer-operator                    AWS Load Balancer Operator                               stable-v1
bamoe-businessautomation-operator             IBM Business Automation                                  8.x-stable
bamoe-kogito-operator                         IBM BAMOE Kogito Operator                                8.x
bare-metal-event-relay                        Bare Metal Event Relay                                   stable
businessautomation-operator                   Business Automation                                      stable
cincinnati-operator                           OpenShift Update Service                                 v1
cluster-kube-descheduler-operator             Kube Descheduler Operator                                stable
cluster-logging                               Red Hat OpenShift Logging                                stable-6.0
cluster-observability-operator                Cluster Observability Operator                           development
clusterresourceoverride                       ClusterResourceOverride Operator                         stable
compliance-operator                           Compliance Operator                                      stable
container-security-operator                   Red Hat Quay Container Security Operator                 stable-3.12
costmanagement-metrics-operator               Cost Management Metrics Operator                         stable
cryostat-operator                             Red Hat build of Cryostat                                stable
datagrid                                      Data Grid                                                stable
deployment-validation-operator                Deployment Validation Operator                           alpha
devspaces                                     Red Hat OpenShift Dev Spaces                             stable
devworkspace-operator                         DevWorkspace Operator                                    fast
dpu-network-operator                          DPU Network Operator                                     stable
eap                                           JBoss EAP                                                stable
elasticsearch-operator                        OpenShift Elasticsearch Operator                         stable-5.8
external-dns-operator                         ExternalDNS Operator                                     stable-v1
fence-agents-remediation                      Fence Agents Remediation Operator                        stable
file-integrity-operator                       File Integrity Operator                                  stable
fuse-apicurito                                Red Hat Integration - API Designer                       fuse-apicurito-7.13.x
fuse-console                                  Red Hat Integration - Fuse Console                       7.13.x
fuse-online                                   Red Hat Integration - Fuse Online                        latest
gatekeeper-operator-product                   Gatekeeper Operator                                      stable
gcp-filestore-csi-driver-operator             GCP Filestore CSI Driver Operator                        stable
ingress-node-firewall                         Ingress Node Firewall Operator                           stable
jaeger-product                                Red Hat OpenShift distributed tracing platform           stable
jws-operator                                  JWS Operator                                             alpha
kernel-module-management                      Kernel Module Management                                 stable
kernel-module-management-hub                  Kernel Module Management (Hub)                           stable
kiali-ossm                                    Kiali Operator                                           stable
klusterlet-product                            Klusterlet                                               stable-2.5
kubernetes-nmstate-operator                   Kubernetes NMState Operator                              stable
kubevirt-hyperconverged                       OpenShift Virtualization                                 stable
lifecycle-agent                               Lifecycle Agent                                          stable
local-storage-operator                        Local Storage                                            stable
logic-operator-rhel8                          OpenShift Serverless Logic Operator                      alpha
loki-operator                                 Loki Operator                                            stable-6.0
lvms-operator                                 LVM Storage                                              stable-4.14
